City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,calabozo,8.9242,-67.4293,24.5,89,100,0.78,VE,1726210797
1,hasaki,35.7333,140.8333,27.95,78,0,9.45,JP,1726210799
2,olonkinbyen,70.9221,-8.7187,2.18,95,100,12.59,SJ,1726210800
3,puerto natales,-51.7236,-72.4875,2.22,85,100,8.09,CL,1726210801
4,adamstown,-25.066,-130.1015,19.33,70,3,7.63,PN,1726210802
5,papatowai,-46.5619,169.4708,5.49,80,91,1.82,NZ,1726210803
6,bel ombre,-4.6167,55.4167,28.91,74,40,7.2,SC,1726210804
7,udachny,66.4167,112.4,2.23,58,100,10.11,RU,1726210805
8,al kharj,24.155,47.3346,36.32,11,0,2.94,SA,1726210807
9,iqaluit,63.7506,-68.5145,3.85,93,100,2.57,CA,1726210808
10,cockburn town,21.4612,-71.1419,28.61,78,70,5.19,TC,1726210809
11,richards bay,-28.783,32.0377,24.9,67,12,4.13,ZA,1726210810
12,aripuana,-9.1667,-60.6333,24.98,34,2,0.76,BR,1726210811
13,cidreira,-30.1811,-50.2056,17.15,96,100,4.08,BR,1726210812
14,hawaiian paradise park,19.5933,-154.9731,23.28,96,0,1.26,US,1726210813
15,smithers,54.7804,-127.1743,11.18,82,100,1.03,CA,1726210803
16,port elizabeth,-33.918,25.5701,17.16,87,0,8.23,ZA,1726210815
17,sur,22.5667,59.5289,36.24,29,4,3.76,OM,1726210817
18,moree,-29.4667,149.85,19.58,48,11,6.38,AU,1726210818
19,kapa'a,22.0752,-159.319,25.05,75,12,4.61,US,1726210819
20,grytviken,-54.2811,-36.5092,1.6,79,99,2.76,GS,1726210820
21,mahdia,35.5047,11.0622,26.56,58,0,6.18,TN,1726210821
22,port-aux-francais,-49.35,70.2167,1.86,86,94,12.12,TF,1726210822
23,qamdo,31.1667,97.2333,17.41,43,100,3.01,CN,1726210823
24,tura,25.5198,90.2201,31.5,72,86,0.53,IN,1726210824
25,badger,64.8,-147.5333,10.95,89,100,0.0,US,1726210826
26,warrenton,-28.114,24.8475,23.41,8,5,2.93,ZA,1726210827
27,waitangi,-43.9535,-176.5597,9.34,86,100,3.13,NZ,1726210828
28,aykhal,66.0,111.5,0.93,66,100,10.44,RU,1726210829
29,margaret river,-33.95,115.0667,21.94,45,0,5.14,AU,1726210830
30,constantia,44.1833,28.65,22.38,71,100,5.69,RO,1726210831
31,tafresh,34.692,50.013,26.64,17,0,2.81,IR,1726210832
32,ardakan,32.31,54.0175,34.46,9,1,3.04,IR,1726210833
33,tocopilla,-22.092,-70.1979,15.24,79,12,3.77,CL,1726210834
34,hamilton,39.1834,-84.5333,20.41,70,81,0.89,US,1726210836
35,puerto ayora,-0.7393,-90.3518,20.31,98,65,1.34,EC,1726210837
36,port saint john's,-31.6229,29.5448,23.31,67,5,1.45,ZA,1726210838
37,bethel,41.3712,-73.414,14.81,86,6,0.64,US,1726210839
38,vorkuta,67.5,64.0,17.87,65,91,3.19,RU,1726210840
39,wailua homesteads,22.0669,-159.378,24.3,92,17,4.18,US,1726210841
40,al kharijah,25.4514,30.5464,32.43,44,3,6.91,EG,1726210842
41,gadzhiyevo,69.2551,33.3362,17.08,73,22,4.39,RU,1726210843
42,corner brook,48.9667,-57.9484,8.34,98,14,2.34,CA,1726210844
43,stanley,54.868,-1.6985,2.01,93,20,2.06,GB,1726210846
44,taoudenni,22.6783,-3.9836,31.73,16,3,2.2,ML,1726210847
45,tiksi,71.6872,128.8694,2.77,72,47,3.08,RU,1726210848
46,manaure,11.7751,-72.4445,27.79,80,100,3.18,CO,1726210849
47,saint-philippe,-21.3585,55.7679,21.89,85,95,6.46,RE,1726210850
48,san antonio de pale,-1.4014,5.6325,23.98,83,100,5.84,GQ,1726210851
49,porto novo,6.4965,2.6036,24.9,91,100,2.16,BJ,1726210852
50,thompson,55.7435,-97.8558,13.09,82,75,2.06,CA,1726210853
51,weno,7.4515,151.8468,27.55,82,100,9.76,FM,1726210855
52,lazaro cardenas,17.9583,-102.2,25.67,91,92,1.8,MX,1726210856
53,sitka,57.0531,-135.33,11.79,94,100,2.83,US,1726210857
54,susanville,40.4163,-120.653,8.06,46,0,1.77,US,1726210858
55,avarua,-21.2078,-159.775,24.03,83,75,2.57,CK,1726210859
56,port alfred,-33.5906,26.891,18.99,79,0,2.68,ZA,1726210860
57,nogliki,51.8333,143.1667,10.81,68,100,6.81,RU,1726210861
58,atafu village,-8.5421,-172.5159,28.57,75,11,6.77,TK,1726210862
59,yellowknife,62.456,-114.3525,10.23,96,0,3.09,CA,1726210864
60,ust-nera,64.5667,143.2,5.72,91,100,2.95,RU,1726210865
61,ramadi,33.4226,43.3058,35.04,21,0,8.01,IQ,1726210866
62,saipan,15.1355,145.701,29.22,80,100,7.08,MP,1726210867
63,anadyr,64.75,177.4833,8.28,93,75,7.0,RU,1726210868
64,edinburgh of the seven seas,-37.0676,-12.3116,14.26,94,99,14.16,SH,1726210869
65,vilyuchinsk,52.9306,158.4028,11.15,65,64,3.82,RU,1726210870
66,dudinka,69.4058,86.1778,6.06,51,6,7.38,RU,1726210871
67,egilsstadir,65.2653,-14.3948,3.95,60,75,5.14,IS,1726210873
68,mesolongi,38.3702,21.4295,25.05,71,0,6.35,GR,1726210874
69,kenai,60.5544,-151.2583,9.52,100,100,2.06,US,1726210641
70,ilulissat,69.2167,-51.1,0.01,80,77,0.0,GL,1726210876
71,bikenibeu village,1.3673,173.1241,28.98,70,75,3.09,KI,1726210877
72,invercargill,-46.4,168.35,7.23,84,100,2.24,NZ,1726210878
73,blackmans bay,-43.0167,147.3167,11.07,65,99,3.32,AU,1726210881
74,st. john's,47.5649,-52.7093,12.53,93,100,2.68,CA,1726210882
75,kidatu,-7.6992,36.9572,29.24,42,100,2.11,TZ,1726210883
76,codrington,-38.2667,141.9667,13.41,72,20,6.87,AU,1726210885
77,yingchuan,34.1628,113.4639,26.71,55,0,3.61,CN,1726210886
78,mugia,43.1041,-9.2179,14.39,67,100,8.02,ES,1726210887
79,belyy yar,53.6039,91.3903,10.94,71,0,5.0,RU,1726210888
80,kirakira,-10.4544,161.9205,27.32,84,25,5.0,SB,1726210889
81,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,66,75,3.0,RU,1726210890
82,hadibu,12.65,54.0333,28.29,68,19,10.17,YE,1726210891
83,nadi,-17.8,177.4167,27.0,78,40,3.6,FJ,1726210892
84,kodiak,57.79,-152.4072,10.14,74,1,8.36,US,1726210894
85,college,64.8569,-147.8028,10.99,88,100,0.0,US,1726210801
86,novyy urengoy,66.0833,76.6333,19.27,63,31,6.85,RU,1726210897
87,luderitz,-26.6481,15.1594,14.37,56,0,4.8,NA,1726210898
88,isafjordur,66.0755,-23.124,2.2,73,89,1.76,IS,1726210899
89,west island,-12.1568,96.8225,27.99,74,75,8.75,CC,1726210900
90,lincheng,19.9078,109.6858,30.36,66,65,3.44,CN,1726210901
91,byron bay,-28.65,153.6167,17.14,71,100,8.12,AU,1726210801
92,basco,20.4487,121.9702,29.22,80,0,7.29,PH,1726210904
93,punta arenas,-53.15,-70.9167,1.06,93,40,11.32,CL,1726210905
94,vorgashor,67.5833,63.95,17.8,65,86,3.27,RU,1726210906
95,margate,51.3813,1.3862,12.05,77,8,0.45,GB,1726210907
96,colonia,50.9333,6.95,9.47,91,100,2.06,DE,1726210908
97,alofi,-19.0595,-169.9187,22.94,88,40,3.6,NU,1726210909
98,kalevala,65.2,31.1667,19.24,69,31,3.71,RU,1726210910
99,copala,16.65,-98.9833,25.85,86,10,1.45,MX,1726210911
100,newman,37.3138,-121.0208,18.36,67,0,1.31,US,1726210913
