City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,5.46,81,61,1.37,RU,1726298231
1,yuzhno-kurilsk,44.0306,145.8556,15.37,68,100,4.69,RU,1726298232
2,port-aux-francais,-49.35,70.2167,2.71,80,58,10.53,TF,1726298233
3,grytviken,-54.2811,-36.5092,-1.03,88,22,6.23,GS,1726298234
4,waitangi,-43.9535,-176.5597,9.21,66,9,3.14,NZ,1726298236
5,tamanrasset,22.785,5.5228,24.95,53,0,1.03,DZ,1726298237
6,cabedelo,-6.9811,-34.8339,22.37,87,39,5.19,BR,1726298238
7,kununurra,-15.7667,128.7333,35.99,9,100,5.14,AU,1726298035
8,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,41,20,7.0,RU,1726298240
9,iqaluit,63.7506,-68.5145,4.85,86,75,2.57,CA,1726298241
10,stanley,54.868,-1.6985,11.96,87,20,1.03,GB,1726298242
11,kodiak,57.79,-152.4072,6.73,76,0,4.63,US,1726298243
12,marka,1.7159,44.7717,27.19,69,80,7.82,SO,1726298244
13,anadyr,64.75,177.4833,7.28,93,75,4.0,RU,1726298246
14,wuyishan,28.0047,117.8114,28.46,81,100,0.6,CN,1726298247
15,pumiao,22.75,108.4833,32.53,62,100,2.69,CN,1726298248
16,papatowai,-46.5619,169.4708,6.98,88,100,1.13,NZ,1726298249
17,adamstown,-25.066,-130.1015,19.35,62,76,5.8,PN,1726298250
18,uturoa,-16.7333,-151.4333,26.0,82,22,7.21,PF,1726298251
19,kotel'nikovo,47.6317,43.1461,27.62,24,8,7.74,RU,1726298252
20,sitka,57.0531,-135.33,11.94,94,100,0.0,US,1726298253
21,bethel,41.3712,-73.414,17.16,85,0,0.45,US,1726298256
22,port lincoln,-34.7333,135.8667,13.6,56,99,9.44,AU,1726298257
23,qaqortoq,60.7167,-46.0333,5.58,88,95,2.19,GL,1726298258
24,port mathurin,-19.6833,63.4167,21.22,77,48,10.97,MU,1726298259
25,puerto aysen,-45.4,-72.7,3.11,99,99,1.72,CL,1726298260
26,ariquemes,-9.9133,-63.0408,25.53,31,11,0.87,BR,1726298261
